"score","og_df_row","winnerNo"
67,769,531
100,769,532
70,771,533
68,771,534
52,775,535
63,776,536
53,777,537
75,778,538
63,780,539
72,782,540
56,787,541
79,788,542
81,789,543
67,790,544
52,791,545
78,791,546
109,791,547
56,791,548
53,792,549
89,796,550
101,796,551
70,796,552
74,798,553
78,799,554
63,800,555
72,803,556
84,804,557
86,805,558
63,806,559
80,807,560
68,808,561
89,811,562
78,811,563
68,811,564
58,811,565
93,811,566
58,812,567
93,812,568
68,814,569
79,815,570
70,817,571
83,819,572
72,820,573
67,821,574
69,823,575
81,824,576
53,824,577
79,825,578
61,825,579
61,826,580
90,828,581
66,828,582
66,829,583
52,830,584
69,831,585
68,832,586
68,833,587
78,833,588
81,834,589
135,836,590
53,836,591
55,837,592
60,837,593
56,838,594
63,838,595
57,838,596
60,839,597
109,841,598
109,842,599
72,842,600
66,844,601
71,845,602
85,847,603
101,849,604
52,850,605
71,850,606
65,850,607
59,853,608
54,855,609
94,855,610
58,857,611
86,857,612
60,858,613
87,860,614
72,862,615
63,863,616
101,864,617
90,864,618
59,864,619
83,865,620
70,865,621
61,865,622
71,868,623
150,868,624
73,870,625
72,870,626
62,871,627
79,873,628
79,874,629
98,875,630
55,875,631
76,875,632
69,876,633
84,878,634
63,878,635
103,878,636
67,881,637
65,883,638
92,885,639
135,890,640
52,891,641
65,893,642
156,893,643
68,895,644
55,896,645
77,901,646
53,903,647
73,904,648
107,907,649
69,912,650
81,912,651
67,913,652
65,914,653
115,915,654
69,915,655
80,918,656
52,918,657
59,920,658
67,921,659
59,921,660
84,922,661
61,922,662
73,925,663
83,929,664
83,930,665
66,930,666
52,931,667
71,932,668
65,933,669
59,933,670
64,934,671
90,935,672
52,936,673
52,938,674
76,938,675
81,938,676
63,939,677
53,940,678
85,940,679
62,942,680
62,944,681
62,945,682
56,945,683
81,946,684
67,946,685
60,947,686
89,949,687
133,949,688
82,949,689
60,950,690
53,951,691
62,953,692
69,957,693
52,959,694
82,960,695
64,960,696
55,962,697
70,963,698
53,964,699
86,966,700
90,969,701
94,970,702
74,972,703
54,972,704
55,973,705
72,978,706
64,978,707
71,980,708
85,980,709
73,981,710
52,982,711
88,982,712
93,983,713
70,984,714
67,984,715
71,984,716
70,984,717
82,984,718
63,985,719
103,991,720
75,994,721
68,994,722
72,996,723
101,999,724
62,999,725
52,1001,726
84,1002,727
71,1005,728
69,1005,729
52,1007,730
54,1007,731
74,1007,732
79,1013,733
90,1014,734
54,1014,735
58,1015,736
69,1015,737
82,1016,738
55,1017,739
76,1018,740
57,1018,741
61,1018,742
54,1018,743
55,1020,744
66,1021,745
71,1022,746
64,1024,747
100,1024,748
86,1026,749
86,1027,750
95,1032,751
92,1032,752
112,1038,753
54,1039,754
68,1042,755
78,1043,756
76,1047,757
54,1049,758
79,1050,759
52,1050,760
64,1051,761
131,1051,762
72,1051,763
56,1052,764
84,1054,765
61,1056,766
52,1056,767
55,1057,768
64,1059,769
113,1059,770
70,1059,771
62,1060,772
57,1060,773
107,1061,774
52,1061,775
107,1062,776
52,1062,777
75,1062,778
60,1069,779
60,1070,780
63,1070,781
66,1072,782
54,1072,783
64,1072,784
62,1074,785
68,1074,786
88,1074,787
60,1076,788
60,1077,789
90,1078,790
52,1078,791
85,1078,792
73,1079,793
60,1080,794
84,1080,795
70,1080,796
66,1083,797
56,1084,798
53,1084,799
91,1085,800
84,1085,801
64,1086,802
55,1087,803
67,1089,804
80,1089,805
70,1089,806
69,1090,807
102,1091,808
79,1095,809
52,1096,810
61,1100,811
78,1103,812
68,1103,813
94,1105,814
68,1105,815
59,1106,816
57,1106,817
69,1107,818
65,1108,819
91,1110,820
53,1110,821
52,1110,822
66,1110,823
99,1113,824
70,1113,825
77,1114,826
80,1117,827
64,1122,828
82,1123,829
74,1124,830
106,1125,831
61,1129,832
81,1129,833
59,1129,834
64,1130,835
53,1133,836
92,1134,837
64,1134,838
91,1136,839
88,1136,840
66,1136,841
54,1136,842
65,1137,843
94,1137,844
65,1139,845
71,1139,846
59,1139,847
81,1139,848
53,1139,849
58,1140,850
60,1141,851
73,1144,852
63,1144,853
70,1144,854
91,1147,855
59,1147,856
79,1147,857
55,1148,858
55,1149,859
67,1150,860
85,1150,861
60,1153,862
64,1153,863
66,1157,864
78,1157,865
68,1163,866
81,1170,867
92,1171,868
53,1172,869
62,1173,870
72,1174,871
78,1175,872
64,1176,873
99,1177,874
68,1180,875
61,1180,876
64,1181,877
87,1181,878
52,1182,879
58,1182,880
135,1183,881
92,1185,882
89,1186,883
109,1187,884
65,1187,885
71,1192,886
90,1196,887
75,1196,888
78,1199,889
75,1200,890
76,1200,891
74,1203,892
150,1203,893
52,1203,894
108,1203,895
76,1203,896
52,1205,897
89,1206,898
54,1206,899
55,1210,900
60,1211,901
75,1211,902
86,1212,903
83,1213,904
65,1215,905
64,1215,906
109,1217,907
53,1218,908
53,1219,909
72,1219,910
71,1219,911
75,1223,912
53,1223,913
79,1225,914
55,1225,915
79,1226,916
55,1226,917
52,1226,918
79,1227,919
59,1229,920
83,1229,921
66,1229,922
57,1231,923
57,1232,924
57,1233,925
66,1233,926
61,1233,927
84,1234,928
60,1235,929
78,1240,930
114,1240,931
78,1241,932
114,1241,933
61,1242,934
71,1242,935
76,1247,936
92,1248,937
62,1248,938
92,1249,939
62,1249,940
72,1249,941
86,1249,942
58,1251,943
111,1251,944
57,1251,945
71,1252,946
90,1256,947
62,1256,948
67,1259,949
71,1264,950
92,1264,951
79,1267,952
60,1269,953
84,1270,954
67,1270,955
84,1271,956
67,1271,957
52,1271,958
56,1272,959
65,1275,960
80,1275,961
52,1276,962
55,1279,963
70,1279,964
109,1281,965
109,1282,966
58,1282,967
60,1282,968
106,1283,969
63,1283,970
54,1287,971
77,1291,972
54,1292,973
54,1293,974
74,1295,975
64,1298,976
110,1298,977
61,1298,978
56,1300,979
70,1300,980
57,1302,981
103,1302,982
67,1306,983
69,1306,984
56,1308,985
89,1308,986
106,1311,987
83,1312,988
79,1312,989
83,1313,990
79,1313,991
83,1314,992
83,1315,993
60,1316,994
89,1318,995
69,1318,996
52,1318,997
75,1318,998
52,1320,999
64,1321,1000
70,1322,1001
56,1326,1002
65,1327,1003
79,1327,1004
67,1328,1005
54,1329,1006
69,1331,1007
71,1336,1008
67,1342,1009
78,1342,1010
55,1342,1011
70,1344,1012
74,1346,1013
103,1350,1014
66,1352,1015
77,1352,1016
95,1354,1017
97,1354,1018
64,1355,1019
94,1355,1020
85,1355,1021
69,1356,1022
54,1359,1023
68,1359,1024
53,1364,1025
54,1364,1026
64,1366,1027
56,1366,1028
89,1366,1029
70,1366,1030
86,1367,1031
91,1368,1032
67,1369,1033
54,1370,1034
60,1377,1035
85,1378,1036
64,1379,1037
52,1379,1038
104,1383,1039
65,1383,1040
64,1383,1041
60,1385,1042
67,1390,1043
65,1391,1044
54,1393,1045
112,1394,1046
85,1398,1047
54,1400,1048
62,1404,1049
69,1404,1050
69,1405,1051
108,1407,1052
52,1408,1053
61,1408,1054
60,1411,1055
54,1411,1056
58,1416,1057
69,1416,1058
69,1417,1059
54,1418,1060
82,1420,1061
59,1421,1062
74,1423,1063
85,1423,1064
91,1425,1065
54,1427,1066
84,1427,1067
57,1429,1068
61,1434,1069
67,1440,1070
61,1441,1071
88,1444,1072
70,1444,1073
69,1444,1074
69,1445,1075
67,1446,1076
52,1448,1077
70,1449,1078
59,1451,1079
120,1451,1080
70,1451,1081
59,1452,1082
120,1452,1083
70,1452,1084
65,1453,1085
82,1454,1086
52,1455,1087
52,1456,1088
71,1459,1089
57,1460,1090
66,1460,1091
67,1463,1092
60,1463,1093
62,1463,1094
57,1464,1095
57,1464,1096
54,1466,1097
89,1468,1098
93,1469,1099
109,1472,1100
66,1475,1101
85,1477,1102
55,1480,1103
78,1488,1104
71,1491,1105
61,1491,1106
65,1492,1107
64,1492,1108
83,1493,1109
53,1497,1110
72,1497,1111
69,1498,1112
87,1499,1113
112,1500,1114
64,1500,1115
70,1502,1116
70,1503,1117
95,1503,1118
53,1505,1119
59,1508,1120
59,1509,1121
75,1510,1122
62,1514,1123
70,1515,1124
60,1519,1125
72,1520,1126
72,1520,1127
101,1520,1128
72,1521,1129
69,1523,1130
70,1524,1131
53,1529,1132
88,1531,1133
65,1534,1134
64,1535,1135
64,1536,1136
104,1536,1137
87,1541,1138
66,1545,1139
92,1545,1140
54,1545,1141
66,1546,1142
92,1546,1143
54,1546,1144
56,1548,1145
64,1548,1146
60,1553,1147
58,1555,1148
59,1557,1149
75,1560,1150
86,1560,1151
81,1563,1152
112,1564,1153
88,1564,1154
105,1564,1155
63,1564,1156
84,1566,1157
55,1572,1158
65,1573,1159
63,1576,1160
72,1579,1161
104,1579,1162
92,1579,1163
89,1579,1164
59,1580,1165
